MCS_Index,Distance,SNR
qam_M4_R50,236,4.99186780618622
qam_M4_R50,236,3.13337944350597
qam_M4_R50,240,4.99186780618622
qam_M4_R50,240,3.13337944350597
qam_M4_R50,244,4.99186780618622
qam_M4_R50,244,3.13337944350597
qam_M4_R50,248,4.99186780618622
qam_M4_R50,248,3.13337944350597
qam_M4_R50,252,4.99186780618622
qam_M4_R50,252,3.13337944350597
qam_M4_R50,256,4.99186780618622
qam_M4_R50,256,3.13337944350597
qam_M4_R50,260,4.99186780618622
qam_M4_R50,260,3.13337944350597
qam_M4_R50,264,4.99186780618622
qam_M4_R50,264,3.13337944350597
qam_M4_R50,268,4.99186780618622
qam_M4_R50,268,3.13337944350597
qam_M4_R50,272,4.99186780618622
qam_M4_R50,272,3.13337944350597
qam_M4_R50,276,4.99186780618622
qam_M4_R50,276,3.13337944350597
qam_M4_R50,280,4.99186780618622
qam_M4_R50,280,3.13337944350597
qam_M4_R50,284,4.99186780618622
qam_M4_R50,284,3.13337944350597
qam_M4_R50,288,4.99186780618622
qam_M4_R50,288,3.13337944350597
qam_M4_R50,292,4.99186780618622
qam_M4_R50,292,3.13337944350597
qam_M4_R50,296,4.99186780618622
qam_M4_R50,296,3.13337944350597
qam_M4_R67,100,7.8029721767794
qam_M4_R67,100,5.89494225020025
qam_M4_R67,104,7.8029721767794
qam_M4_R67,104,5.89494225020025
qam_M4_R67,108,7.8029721767794
qam_M4_R67,108,5.89494225020025
qam_M4_R67,112,7.8029721767794
qam_M4_R67,112,5.89494225020025
qam_M4_R67,116,7.8029721767794
qam_M4_R67,116,5.89494225020025
qam_M4_R67,120,7.8029721767794
qam_M4_R67,120,5.89494225020025
qam_M4_R67,124,7.8029721767794
qam_M4_R67,124,5.89494225020025
qam_M4_R67,128,7.8029721767794
qam_M4_R67,128,5.89494225020025
qam_M4_R67,132,7.8029721767794
qam_M4_R67,132,5.89494225020025
qam_M4_R67,136,7.8029721767794
qam_M4_R67,136,5.89494225020025
qam_M4_R67,140,7.8029721767794
qam_M4_R67,140,5.89494225020025
qam_M4_R67,144,7.8029721767794
qam_M4_R67,144,5.89494225020025
qam_M4_R67,148,7.8029721767794
qam_M4_R67,148,5.89494225020025
qam_M4_R67,152,7.8029721767794
qam_M4_R67,152,5.89494225020025
qam_M4_R67,156,7.8029721767794
qam_M4_R67,156,5.89494225020025
qam_M4_R67,160,7.8029721767794
qam_M4_R67,160,5.89494225020025
qam_M4_R67,164,7.8029721767794
qam_M4_R67,164,5.89494225020025
qam_M4_R67,168,7.8029721767794
qam_M4_R67,168,5.89494225020025
qam_M4_R67,172,7.8029721767794
qam_M4_R67,172,5.89494225020025
qam_M4_R67,176,7.8029721767794
qam_M4_R67,176,5.89494225020025
qam_M4_R67,180,7.8029721767794
qam_M4_R67,180,5.89494225020025
qam_M4_R67,184,7.8029721767794
qam_M4_R67,184,5.89494225020025
qam_M4_R67,188,7.8029721767794
qam_M4_R67,188,5.89494225020025
qam_M4_R67,192,7.8029721767794
qam_M4_R67,192,5.89494225020025
qam_M4_R67,196,7.8029721767794
qam_M4_R67,196,5.89494225020025
qam_M4_R67,200,7.8029721767794
qam_M4_R67,200,5.89494225020025
qam_M4_R67,204,7.8029721767794
qam_M4_R67,204,5.89494225020025
qam_M4_R67,208,7.8029721767794
qam_M4_R67,208,5.89494225020025
qam_M4_R67,212,7.8029721767794
qam_M4_R67,212,5.89494225020025
qam_M4_R67,216,7.8029721767794
qam_M4_R67,216,5.89494225020025
qam_M4_R67,220,7.8029721767794
qam_M4_R67,220,5.89494225020025
qam_M4_R67,224,7.8029721767794
qam_M4_R67,224,5.89494225020025
qam_M4_R67,228,7.8029721767794
qam_M4_R67,228,5.89494225020025
qam_M4_R67,232,7.8029721767794
qam_M4_R67,232,5.89494225020025
qam_M4_R67,236,7.8029721767794
qam_M4_R67,236,5.89494225020025
qam_M4_R67,240,7.8029721767794
qam_M4_R67,240,5.89494225020025
qam_M4_R67,244,7.8029721767794
qam_M4_R67,244,5.89494225020025
qam_M4_R67,248,7.8029721767794
qam_M4_R67,248,5.89494225020025
qam_M4_R67,252,7.8029721767794
qam_M4_R67,252,5.89494225020025
qam_M4_R67,256,7.8029721767794
qam_M4_R67,256,5.89494225020025
qam_M4_R67,260,7.8029721767794
qam_M4_R67,260,5.89494225020025
qam_M4_R67,264,7.8029721767794
qam_M4_R67,264,5.89494225020025
qam_M4_R67,268,7.8029721767794
qam_M4_R67,268,5.89494225020025
qam_M4_R67,272,7.8029721767794
qam_M4_R67,272,5.89494225020025
qam_M4_R67,276,7.8029721767794
qam_M4_R67,276,5.89494225020025
qam_M4_R67,280,7.8029721767794
qam_M4_R67,280,5.89494225020025
qam_M4_R67,284,7.8029721767794
qam_M4_R67,284,5.89494225020025
qam_M4_R67,288,7.8029721767794
qam_M4_R67,288,5.89494225020025
qam_M4_R67,292,7.8029721767794
qam_M4_R67,292,5.89494225020025
qam_M4_R67,296,7.8029721767794
qam_M4_R67,296,5.89494225020025
qam_M4_R75,100,5.72543354573689
qam_M4_R75,100,4.42270652868089
qam_M4_R75,104,5.72543354573689
qam_M4_R75,104,4.42270652868089
qam_M4_R75,108,5.72543354573689
qam_M4_R75,108,4.42270652868089
qam_M4_R75,112,5.72543354573689
qam_M4_R75,112,4.42270652868089
qam_M4_R75,116,5.72543354573689
qam_M4_R75,116,4.42270652868089
qam_M4_R75,120,5.72543354573689
qam_M4_R75,120,4.42270652868089
qam_M4_R75,124,5.72543354573689
qam_M4_R75,124,4.42270652868089
qam_M4_R75,128,5.72543354573689
qam_M4_R75,128,4.42270652868089
qam_M4_R75,132,5.72543354573689
qam_M4_R75,132,4.42270652868089
qam_M4_R75,136,5.72543354573689
qam_M4_R75,136,4.42270652868089
qam_M4_R75,140,5.72543354573689
qam_M4_R75,140,4.42270652868089
qam_M4_R75,144,5.72543354573689
qam_M4_R75,144,4.42270652868089
qam_M4_R75,148,5.72543354573689
qam_M4_R75,148,4.42270652868089
qam_M4_R75,152,5.72543354573689
qam_M4_R75,152,4.42270652868089
qam_M4_R75,156,5.72543354573689
qam_M4_R75,156,4.42270652868089
qam_M4_R75,160,5.72543354573689
qam_M4_R75,160,4.42270652868089
qam_M4_R75,164,5.72543354573689
qam_M4_R75,164,4.42270652868089
qam_M4_R75,168,5.72543354573689
qam_M4_R75,168,4.42270652868089
qam_M4_R75,172,5.72543354573689
qam_M4_R75,172,4.42270652868089
qam_M4_R75,176,5.72543354573689
qam_M4_R75,176,4.42270652868089
qam_M4_R75,180,5.72543354573689
qam_M4_R75,180,4.42270652868089
qam_M4_R75,184,5.72543354573689
qam_M4_R75,184,4.42270652868089
qam_M4_R75,188,5.72543354573689
qam_M4_R75,188,4.42270652868089
qam_M4_R75,192,5.72543354573689
qam_M4_R75,192,4.42270652868089
qam_M4_R75,196,5.72543354573689
qam_M4_R75,196,4.42270652868089
qam_M4_R75,200,5.72543354573689
qam_M4_R75,200,4.42270652868089
qam_M4_R75,204,5.72543354573689
qam_M4_R75,204,4.42270652868089
qam_M4_R75,208,5.72543354573689
